epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,29378.7,0.8864,0.69643,1.1215,0.87668,0.86522,0.91529,0.68861,1.00366,0.75628,1.24775,0.000420143,0.000420143,0.000420143
43,30073.1,0.8692,0.68766,1.10893,0.84963,0.8475,0.90591,0.68876,0.97579,0.78636,1.21562,0.000406,0.000406,0.000406
44,30764.7,0.89109,0.70806,1.12002,0.9065,0.80241,0.89602,0.67274,1.01224,0.82281,1.25544,0.000391857,0.000391857,0.000391857
45,31456.2,0.87044,0.71031,1.11509,0.89077,0.83534,0.90435,0.68238,1.00226,0.80997,1.25619,0.000377714,0.000377714,0.000377714
46,32151.8,0.85354,0.65767,1.09723,0.9014,0.83646,0.90788,0.6822,1.03597,0.77484,1.27626,0.000363571,0.000363571,0.000363571
47,32846.1,0.8616,0.67725,1.10277,0.8866,0.83185,0.91121,0.6792,1.02182,0.77407,1.24769,0.000349429,0.000349429,0.000349429
48,33538.8,0.84645,0.66223,1.11043,0.88334,0.85083,0.90107,0.66912,1.03847,0.78815,1.26082,0.000335286,0.000335286,0.000335286
49,34231.4,0.82362,0.63873,1.08888,0.89941,0.85436,0.91097,0.69301,1.00007,0.73148,1.26764,0.000321143,0.000321143,0.000321143
50,34923.7,0.82391,0.63046,1.07936,0.88535,0.85224,0.91111,0.68827,1.02545,0.72033,1.29336,0.000307,0.000307,0.000307
51,35620.8,0.83145,0.63152,1.09642,0.8924,0.86495,0.9184,0.69589,0.99456,0.71863,1.24658,0.000292857,0.000292857,0.000292857
52,36314.8,0.80628,0.62448,1.07408,0.87785,0.86294,0.91606,0.69475,0.99304,0.72438,1.2653,0.000278714,0.000278714,0.000278714
53,37008.9,0.8027,0.59685,1.07373,0.92557,0.82693,0.91161,0.69681,1.01731,0.7579,1.26594,0.000264571,0.000264571,0.000264571
54,37701.3,0.80328,0.58979,1.06679,0.88093,0.85762,0.91453,0.6974,0.97067,0.72123,1.2316,0.000250429,0.000250429,0.000250429
55,38396.6,0.78633,0.59248,1.06005,0.91328,0.84795,0.91801,0.7035,0.99294,0.71874,1.26709,0.000236286,0.000236286,0.000236286
56,39089.4,0.79992,0.58861,1.06737,0.90833,0.84306,0.91092,0.69248,0.98505,0.74084,1.2422,0.000222143,0.000222143,0.000222143
57,39785.3,0.7976,0.59903,1.06788,0.90544,0.85116,0.91451,0.70121,0.95773,0.72171,1.22681,0.000208,0.000208,0.000208
58,40480.6,0.77201,0.57179,1.05242,0.8913,0.86246,0.91501,0.70554,0.97494,0.72982,1.23482,0.000193857,0.000193857,0.000193857
59,41175.6,0.78061,0.57336,1.05871,0.91994,0.84241,0.91338,0.70503,0.97061,0.72557,1.23807,0.000179714,0.000179714,0.000179714
60,41873.7,0.76383,0.55345,1.05141,0.89758,0.85691,0.91411,0.69509,0.99843,0.72133,1.26397,0.000165571,0.000165571,0.000165571
61,42579.8,0.69422,0.49128,0.99756,0.86417,0.87673,0.91099,0.69449,0.99536,0.73507,1.25651,0.000151429,0.000151429,0.000151429
62,43293,0.65588,0.42735,0.97734,0.89035,0.86233,0.91974,0.69743,1.00683,0.70763,1.2786,0.000137286,0.000137286,0.000137286
63,43980.1,0.64876,0.4045,0.97905,0.89962,0.86305,0.91799,0.70266,0.98563,0.69084,1.26329,0.000123143,0.000123143,0.000123143
64,44664.9,0.63138,0.3984,0.96315,0.91085,0.86121,0.91789,0.69935,1.03872,0.67767,1.32737,0.000109,0.000109,0.000109
65,45357.1,0.63507,0.38843,0.97036,0.9036,0.87062,0.9167,0.70777,1.00277,0.68311,1.29055,9.48571e-05,9.48571e-05,9.48571e-05
66,46042.6,0.62278,0.38047,0.96598,0.90893,0.85515,0.91732,0.70769,1.00461,0.68379,1.29617,8.07143e-05,8.07143e-05,8.07143e-05
67,46729.5,0.61314,0.37378,0.95186,0.89915,0.85709,0.91698,0.70545,0.99385,0.68775,1.28677,6.65714e-05,6.65714e-05,6.65714e-05
68,47412.1,0.61792,0.366,0.95382,0.89773,0.86876,0.91794,0.705,0.99742,0.69505,1.28279,5.24286e-05,5.24286e-05,5.24286e-05
69,48097.9,0.61615,0.3677,0.95098,0.9135,0.85987,0.9183,0.70505,0.99495,0.68893,1.28663,3.82857e-05,3.82857e-05,3.82857e-05
70,48785,0.59878,0.36173,0.94327,0.88781,0.88191,0.92134,0.7096,0.98525,0.69123,1.27783,2.41429e-05,2.41429e-05,2.41429e-05
